country_code,country_name,wb_income,wb_region,skill_group_category,skill_group_name,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,net_per_10K_2019,avg_skill_migration
ca,Canada,High income,North America,Specialized Industry Skills,Carpentry,2.68,4.91,11.01,6.69,13.23,7.704000000000001
ca,Canada,High income,North America,Specialized Industry Skills,Art History,-17.7,24.15,31.49,23.74,24.82,17.3
ca,Canada,High income,North America,Specialized Industry Skills,Real Estate,-2.77,6.63,11.45,20.55,25.04,12.18
ca,Canada,High income,North America,Specialized Industry Skills,Psychiatry,19.02,24.28,10.42,57.74,28.15,27.922000000000004
ca,Canada,High income,North America,Specialized Industry Skills,Conceptual Art,11.99,26.15,34.61,36.06,28.29,27.419999999999998
ca,Canada,High income,North America,Specialized Industry Skills,Emergency Medicine,9.16,15.23,14.13,38.01,28.9,21.086000000000002
ca,Canada,High income,North America,Specialized Industry Skills,Volunteer Management,-14.46,-3.83,5.88,31.54,29.1,9.646
ca,Canada,High income,North America,Specialized Industry Skills,Reading Comprehension,18.56,-18.55,30.79,21.47,29.88,16.43
ca,Canada,High income,North America,Specialized Industry Skills,Property Management,-1.53,9.81,13.94,26.14,31.23,15.918000000000001
ca,Canada,High income,North America,Specialized Industry Skills,History,-30.47,12.83,32.3,54.84,31.96,20.292
ca,Canada,High income,North America,Specialized Industry Skills,Nonprofit Management,-8.29,-2.21,16.45,28.42,32.83,13.440000000000001
ca,Canada,High income,North America,Specialized Industry Skills,National Security,2.6,10.43,37.63,37.78,33.56,24.4
ca,Canada,High income,North America,Specialized Industry Skills,Mining,-4.39,11.3,37.59,45.45,34.02,24.794000000000004
ca,Canada,High income,North America,Specialized Industry Skills,Wholesale,0.97,7.01,23.27,30.55,35.38,19.436
ca,Canada,High income,North America,Specialized Industry Skills,Cosmetology,8.15,14.26,36.11,41.76,36.06,27.268
ca,Canada,High income,North America,Specialized Industry Skills,Property Law,14.12,30.32,40.2,51.71,39.62,35.194
ca,Canada,High income,North America,Specialized Industry Skills,Personal Coaching,1.47,9.97,18.9,31.17,40.15,20.332
ca,Canada,High income,North America,Specialized Industry Skills,Kinesiology,14.3,15.79,13.49,34.48,40.87,23.786
ca,Canada,High income,North America,Specialized Industry Skills,Religious Studies,3.2,10.47,-2.59,21.14,44.18,15.280000000000001
ca,Canada,High income,North America,Specialized Industry Skills,Ophthalmology,-40.34,35.2,91.74,62.87,44.23,38.739999999999995
ca,Canada,High income,North America,Specialized Industry Skills,Theatre,-12.69,15.77,35.32,45.9,44.43,25.746
ca,Canada,High income,North America,Specialized Industry Skills,Forestry,-27.97,15.4,33.2,20.35,44.49,17.094
ca,Canada,High income,North America,Specialized Industry Skills,Childcare,10.6,26.04,18.02,43.66,45.28,28.72
ca,Canada,High income,North America,Specialized Industry Skills,Physical Security,0.0,7.05,20.53,32.24,46.57,21.278000000000002
ca,Canada,High income,North America,Specialized Industry Skills,Wellness,0.21,13.56,22.77,38.69,47.26,24.497999999999998
ca,Canada,High income,North America,Specialized Industry Skills,Nuclear Engineering,-22.28,24.63,39.28,24.47,47.94,22.808
ca,Canada,High income,North America,Specialized Industry Skills,Event Planning,-10.95,4.1,23.85,40.92,48.28,21.240000000000002
ca,Canada,High income,North America,Specialized Industry Skills,Psychology,-4.51,11.59,24.57,36.91,48.61,23.434
ca,Canada,High income,North America,Specialized Industry Skills,Veterinary Medicine,9.39,4.33,-3.07,44.04,49.34,20.806
ca,Canada,High income,North America,Specialized Industry Skills,Nuclear Physics,4.42,-33.45,49.77,95.03,50.47,33.248000000000005
ca,Canada,High income,North America,Specialized Industry Skills,Social Services,0.38,14.52,26.54,33.76,51.9,25.419999999999998
ca,Canada,High income,North America,Specialized Industry Skills,Oral Comprehension,9.7,28.14,49.46,92.99,53.58,46.774
ca,Canada,High income,North America,Specialized Industry Skills,Landscape Architecture,14.59,29.03,43.85,41.16,53.9,36.506
ca,Canada,High income,North America,Specialized Industry Skills,Sports Coaching,8.39,15.35,35.61,47.86,56.27,32.696000000000005
ca,Canada,High income,North America,Specialized Industry Skills,Urology,13.73,26.67,-11.55,20.22,56.59,21.132
ca,Canada,High income,North America,Specialized Industry Skills,Physical Medicine and Rehabilitation,14.24,33.42,25.4,32.58,57.13,32.554
ca,Canada,High income,North America,Specialized Industry Skills,Public Policy,-0.18,25.93,42.17,53.79,58.43,36.028000000000006
ca,Canada,High income,North America,Specialized Industry Skills,Anthropology,-31.42,-29.06,89.16,45.34,59.26,26.656
ca,Canada,High income,North America,Specialized Industry Skills,Printing,6.04,8.21,37.91,38.43,59.31,29.98
ca,Canada,High income,North America,Specialized Industry Skills,Radio Production,-2.24,45.16,40.4,39.05,59.69,36.412
ca,Canada,High income,North America,Specialized Industry Skills,Family Law,7.06,12.85,15.35,35.93,59.86,26.21
ca,Canada,High income,North America,Soft Skills,Time Management,-19.7,-8.11,12.15,38.2,60.23,16.554000000000002
ca,Canada,High income,North America,Specialized Industry Skills,Army,34.61,29.95,41.7,49.28,61.19,43.346000000000004
ca,Canada,High income,North America,Specialized Industry Skills,Ground Transportation,30.82,40.88,39.03,56.25,61.44,45.684000000000005
ca,Canada,High income,North America,Specialized Industry Skills,Radiology,25.12,38.31,46.21,99.61,62.04,54.258
ca,Canada,High income,North America,Specialized Industry Skills,Retail Packaging,7.41,27.22,48.96,62.96,62.13,41.736000000000004
ca,Canada,High income,North America,Specialized Industry Skills,Analytical Reasoning,-38.22,-36.3,2.02,18.05,63.61,1.8319999999999994
ca,Canada,High income,North America,Specialized Industry Skills,Family Medicine,17.19,28.93,28.84,54.8,64.38,38.827999999999996
ca,Canada,High income,North America,Specialized Industry Skills,Nursing,33.13,37.06,30.48,59.84,64.65,45.032
ca,Canada,High income,North America,Specialized Industry Skills,Editing,-6.56,22.92,44.25,58.78,64.79,36.836
ca,Canada,High income,North America,Specialized Industry Skills,Inorganic Chemistry,-18.02,54.0,15.15,70.61,66.05,37.55800000000001
ca,Canada,High income,North America,Specialized Industry Skills,Television,17.97,51.62,60.3,73.02,66.07,53.79599999999999
ca,Canada,High income,North America,Specialized Industry Skills,Apparel,-8.13,18.51,44.37,54.35,66.36,35.092
ca,Canada,High income,North America,Specialized Industry Skills,Pediatrics,45.4,87.0,56.25,83.4,66.53,67.71600000000001
ca,Canada,High income,North America,Specialized Industry Skills,Library Science,-8.13,10.47,31.48,33.74,66.93,26.898000000000003
ca,Canada,High income,North America,Specialized Industry Skills,Visual Arts,19.7,33.2,41.21,51.8,67.01,42.584
ca,Canada,High income,North America,Specialized Industry Skills,Land Surveying,36.95,32.82,51.93,65.7,68.24,51.12800000000001
ca,Canada,High income,North America,Specialized Industry Skills,Orthopedic Surgery,27.78,64.23,32.9,35.87,68.62,45.88
ca,Canada,High income,North America,Specialized Industry Skills,Alcoholic Beverages,-14.04,15.8,49.66,45.06,68.74,33.044
ca,Canada,High income,North America,Business Skills,Debt Collection,13.17,29.8,31.49,43.55,68.77,37.355999999999995
ca,Canada,High income,North America,Specialized Industry Skills,Legislation,-23.69,24.45,32.28,16.14,69.08,23.651999999999997
ca,Canada,High income,North America,Specialized Industry Skills,Environmental Consulting,3.56,16.2,40.56,58.62,69.36,37.660000000000004
ca,Canada,High income,North America,Specialized Industry Skills,Obstetrics,-6.62,26.91,7.62,56.15,69.88,30.788
ca,Canada,High income,North America,Specialized Industry Skills,Plastics,6.59,10.15,33.58,66.22,70.25,37.358
ca,Canada,High income,North America,Specialized Industry Skills,Anesthesiology,0.0,53.38,61.97,78.51,70.39,52.85
ca,Canada,High income,North America,Business Skills,Investor Relations,-5.55,18.02,55.46,73.13,71.08,42.428
ca,Canada,High income,North America,Specialized Industry Skills,Gastroenterology,32.61,9.17,8.77,40.81,71.24,32.519999999999996
ca,Canada,High income,North America,Specialized Industry Skills,Retail,11.95,20.51,37.46,58.75,71.62,40.05800000000001
ca,Canada,High income,North America,Specialized Industry Skills,Recreation,8.28,24.1,39.01,76.14,71.95,43.896
ca,Canada,High income,North America,Specialized Industry Skills,Music,-7.19,34.81,63.3,72.08,72.02,47.004
ca,Canada,High income,North America,Specialized Industry Skills,Utilities,21.62,38.79,56.54,69.24,72.64,51.766
ca,Canada,High income,North America,Specialized Industry Skills,Oil & Gas,28.79,41.28,61.04,81.76,72.74,57.122
ca,Canada,High income,North America,Specialized Industry Skills,General Surgery,33.98,109.79,69.9,95.94,72.85,76.492
ca,Canada,High income,North America,Specialized Industry Skills,K-12 Education,27.49,46.61,57.36,70.77,72.96,55.03799999999999
ca,Canada,High income,North America,Specialized Industry Skills,Zoology,-34.72,-11.89,28.46,70.65,74.2,25.340000000000003
ca,Canada,High income,North America,Specialized Industry Skills,Agricultural Production,2.48,17.87,47.17,66.98,74.91,41.882
ca,Canada,High income,North America,Specialized Industry Skills,Maintenance & Repair,27.19,32.77,43.51,58.13,76.08,47.536
ca,Canada,High income,North America,Specialized Industry Skills,Water Engineering,36.38,29.46,43.27,65.34,76.36,50.162
ca,Canada,High income,North America,Business Skills,Administrative Assistance,6.95,20.03,30.48,54.73,77.43,37.924
ca,Canada,High income,North America,Specialized Industry Skills,Air Force,2.03,-9.49,36.29,70.37,78.19,35.477999999999994
ca,Canada,High income,North America,Business Skills,Payroll Services,12.26,25.25,44.69,61.26,78.91,44.474
ca,Canada,High income,North America,Specialized Industry Skills,Medicine,30.04,72.02,56.27,85.39,79.95,64.73400000000001
ca,Canada,High income,North America,Specialized Industry Skills,Commercial Photography,15.86,44.9,49.35,74.39,80.32,52.964
ca,Canada,High income,North America,Specialized Industry Skills,Environmental Engineering,23.25,35.27,53.55,76.52,80.94,53.90599999999999
ca,Canada,High income,North America,Specialized Industry Skills,Public Health,19.88,47.8,44.69,76.11,82.8,54.25599999999999
ca,Canada,High income,North America,Specialized Industry Skills,Educational Administration,37.31,46.14,69.66,90.91,82.81,65.36600000000001
ca,Canada,High income,North America,Business Skills,Inside Sales,15.23,35.91,51.05,71.95,83.48,51.524
ca,Canada,High income,North America,Specialized Industry Skills,Communication Disorders,30.04,47.21,30.1,71.31,84.18,52.568000000000005
ca,Canada,High income,North America,Business Skills,Compensation & Benefits,1.96,34.48,55.68,87.57,84.21,52.779999999999994
ca,Canada,High income,North America,Tech Skills,Social Media,-9.43,26.17,47.29,72.96,85.01,44.4
ca,Canada,High income,North America,Specialized Industry Skills,Labor and Employment Law,6.47,39.62,58.55,114.54,85.62,60.96
ca,Canada,High income,North America,Specialized Industry Skills,Neurology,17.6,53.82,15.48,39.77,85.73,42.480000000000004
ca,Canada,High income,North America,Business Skills,Insurance,19.02,35.59,50.41,74.93,85.74,53.138
ca,Canada,High income,North America,Specialized Industry Skills,Oncology,9.82,56.32,56.89,100.06,86.18,61.854
ca,Canada,High income,North America,Business Skills,Customer Experience,11.51,22.03,33.4,59.76,87.27,42.794
ca,Canada,High income,North America,Business Skills,Accounts Payable,14.56,29.2,42.85,65.78,88.03,48.083999999999996
ca,Canada,High income,North America,Business Skills,Entrepreneurship,-25.13,10.2,54.26,71.34,88.79,39.892
ca,Canada,High income,North America,Specialized Industry Skills,Public Safety,23.75,25.72,52.19,71.15,89.5,52.462
ca,Canada,High income,North America,Business Skills,Bookkeeping,16.16,30.89,37.7,63.24,89.69,47.536
ca,Canada,High income,North America,Business Skills,Employee Learning & Development,38.69,42.38,56.16,85.68,90.58,62.698
ca,Canada,High income,North America,Business Skills,Growth Strategies,-6.94,23.56,53.57,82.59,90.91,48.738
ca,Canada,High income,North America,Business Skills,Investment Banking,9.01,39.55,53.96,86.35,91.63,56.1
ca,Canada,High income,North America,Specialized Industry Skills,Professional Sports,13.34,26.3,52.84,59.36,91.93,48.754000000000005
ca,Canada,High income,North America,Specialized Industry Skills,Agronomy,1.19,8.07,25.61,63.7,92.68,38.25
ca,Canada,High income,North America,Specialized Industry Skills,Inventory Management,20.5,32.64,52.77,74.7,93.61,54.84400000000001
ca,Canada,High income,North America,Specialized Industry Skills,Cardiology,52.52,65.83,36.58,85.96,93.7,66.91799999999999
ca,Canada,High income,North America,Specialized Industry Skills,Interior Design,17.51,37.16,51.89,86.72,94.37,57.529999999999994
ca,Canada,High income,North America,Soft Skills,Writing,-18.18,13.78,41.96,63.74,94.95,39.25
ca,Canada,High income,North America,Specialized Industry Skills,Construction Engineering,38.34,42.67,61.89,85.05,94.99,64.588
ca,Canada,High income,North America,Specialized Industry Skills,Documentation,2.58,22.43,45.16,79.02,95.21,48.879999999999995
ca,Canada,High income,North America,Specialized Industry Skills,Arts & Crafts,16.68,29.78,51.52,77.03,95.37,54.076
ca,Canada,High income,North America,Specialized Industry Skills,Healthcare Management,35.62,61.1,50.45,87.99,95.52,66.136
ca,Canada,High income,North America,Specialized Industry Skills,Dance,-12.39,28.9,35.79,60.28,96.53,41.822
ca,Canada,High income,North America,Business Skills,Corporate Communications,-4.14,28.29,57.35,82.51,97.32,52.266
ca,Canada,High income,North America,Specialized Industry Skills,Dermatology,43.9,11.23,33.57,64.61,97.48,50.158
ca,Canada,High income,North America,Specialized Industry Skills,Cooking,22.42,29.45,54.65,77.51,97.78,56.36200000000001
ca,Canada,High income,North America,Specialized Industry Skills,Drilling Engineering,41.13,60.3,83.07,108.34,98.62,78.292
ca,Canada,High income,North America,Business Skills,Management Accounting,17.48,37.13,49.46,81.54,100.06,57.134
ca,Canada,High income,North America,Specialized Industry Skills,Teaching,31.23,44.63,64.8,89.71,100.63,66.2
ca,Canada,High income,North America,Specialized Industry Skills,Automotive,29.82,23.47,49.31,64.64,102.23,53.894000000000005
ca,Canada,High income,North America,Specialized Industry Skills,Contract Law,17.67,34.45,40.68,90.71,102.24,57.15
ca,Canada,High income,North America,Specialized Industry Skills,Aircraft Management,23.03,10.82,58.15,93.5,102.29,57.55800000000001
ca,Canada,High income,North America,Specialized Industry Skills,Food Service Operations,16.22,44.16,78.76,87.26,103.72,66.024
ca,Canada,High income,North America,Specialized Industry Skills,Higher Education,23.4,47.8,69.2,95.01,103.78,67.838
ca,Canada,High income,North America,Business Skills,People Management,17.36,31.99,53.68,81.89,103.84,57.751999999999995
ca,Canada,High income,North America,Specialized Industry Skills,Food Manufacturing,18.35,44.55,57.2,76.33,104.29,60.144000000000005
ca,Canada,High income,North America,Specialized Industry Skills,Earth Science,19.13,35.6,70.49,97.66,104.3,65.436
ca,Canada,High income,North America,Specialized Industry Skills,Delivery Operations,26.71,42.95,60.15,90.12,105.77,65.14
ca,Canada,High income,North America,Specialized Industry Skills,Botany,-20.53,4.42,40.18,71.33,106.56,40.392
ca,Canada,High income,North America,Specialized Industry Skills,Urban Planning,28.51,40.91,68.14,84.52,106.83,65.782
ca,Canada,High income,North America,Specialized Industry Skills,Sociology,-23.92,43.41,55.89,95.16,107.55,55.617999999999995
ca,Canada,High income,North America,Specialized Industry Skills,Pathology,29.27,94.35,48.0,98.83,108.2,75.72999999999999
ca,Canada,High income,North America,Specialized Industry Skills,Environmental Science,-2.66,39.69,63.64,94.99,108.49,60.83
ca,Canada,High income,North America,Specialized Industry Skills,Photography,20.35,62.1,79.33,110.79,109.01,76.316
ca,Canada,High income,North America,Specialized Industry Skills,Travel Management,2.86,47.11,108.96,126.21,110.06,79.03999999999999
ca,Canada,High income,North America,Specialized Industry Skills,Journalism,-4.58,45.94,64.66,86.58,110.32,60.58399999999999
ca,Canada,High income,North America,Business Skills,Procurement,31.74,51.99,67.75,94.27,110.8,71.31
ca,Canada,High income,North America,Soft Skills,Communication,2.41,27.45,50.18,84.78,111.92,55.348
ca,Canada,High income,North America,Specialized Industry Skills,Geotechnical Engineering,49.92,55.86,87.4,119.99,112.7,85.174
ca,Canada,High income,North America,Specialized Industry Skills,Politics,24.71,63.69,102.1,110.82,112.94,82.852
ca,Canada,High income,North America,Specialized Industry Skills,Physiology,-20.76,7.37,64.87,102.22,114.0,53.54
ca,Canada,High income,North America,Specialized Industry Skills,Instrumentation,44.44,42.63,83.89,102.55,114.25,77.55199999999999
ca,Canada,High income,North America,Disruptive Tech Skills,Materials Science,9.29,47.64,56.73,117.59,114.6,69.17
ca,Canada,High income,North America,Specialized Industry Skills,Video,26.92,70.81,89.98,114.63,115.94,83.656
ca,Canada,High income,North America,Specialized Industry Skills,Law,24.17,45.21,58.05,105.91,116.98,70.064
ca,Canada,High income,North America,Soft Skills,Negotiation,32.01,63.03,75.71,109.43,120.44,80.124
ca,Canada,High income,North America,Specialized Industry Skills,Airlines,21.0,33.58,70.57,120.3,120.6,73.21
ca,Canada,High income,North America,Specialized Industry Skills,Biomedical Engineering,27.13,61.68,63.98,106.5,122.01,76.25999999999999
ca,Canada,High income,North America,Specialized Industry Skills,Maritime Operations,25.43,37.71,60.55,91.76,122.03,67.49600000000001
ca,Canada,High income,North America,Soft Skills,Active Learning,47.63,49.93,82.12,98.87,123.04,80.31800000000001
ca,Canada,High income,North America,Specialized Industry Skills,Power Systems,22.08,38.81,74.23,86.6,123.08,68.96000000000001
ca,Canada,High income,North America,Specialized Industry Skills,Recruiting,17.59,53.76,78.99,123.31,124.74,79.678
ca,Canada,High income,North America,Tech Skills,Game Development,-1.37,75.66,121.44,140.5,127.47,92.74000000000001
ca,Canada,High income,North America,Business Skills,Human Resources (HR),24.47,54.4,70.78,112.65,128.56,78.172
ca,Canada,High income,North America,Soft Skills,Teamwork,-5.1,23.82,57.27,103.87,130.02,61.976
ca,Canada,High income,North America,Tech Skills,Information Management,14.98,40.41,76.53,117.57,130.33,75.96400000000001
ca,Canada,High income,North America,Business Skills,Manufacturing Operations,33.73,53.39,72.22,110.85,130.65,80.168
ca,Canada,High income,North America,Specialized Industry Skills,Literature,26.12,84.86,82.74,97.75,133.07,84.908
ca,Canada,High income,North America,Business Skills,Advertising,12.89,49.88,71.97,109.81,133.16,75.542
ca,Canada,High income,North America,Business Skills,Affiliate Marketing,-31.97,28.47,46.02,89.9,134.03,53.290000000000006
ca,Canada,High income,North America,Disruptive Tech Skills,Nanotechnology,-61.3,14.01,88.08,199.91,134.92,75.124
ca,Canada,High income,North America,Soft Skills,Leadership,35.0,55.58,74.64,122.19,135.58,84.598
ca,Canada,High income,North America,Specialized Industry Skills,Physics,10.55,1.5,79.57,144.39,137.63,74.728
ca,Canada,High income,North America,Business Skills,Digital Marketing,3.59,44.37,72.38,116.87,138.21,75.08399999999999
ca,Canada,High income,North America,Specialized Industry Skills,Research,25.33,51.01,72.97,123.17,139.63,82.422
ca,Canada,High income,North America,Specialized Industry Skills,Organic Chemistry,-7.21,42.32,70.89,123.28,140.1,73.876
ca,Canada,High income,North America,Specialized Industry Skills,Chemical Processing,27.4,68.23,61.67,127.51,142.08,85.378
ca,Canada,High income,North America,Specialized Industry Skills,Oceanography,34.34,76.4,84.83,91.67,142.26,85.9
ca,Canada,High income,North America,Business Skills,Sales Leads,-25.31,25.0,60.64,118.49,142.89,64.342
ca,Canada,High income,North America,Specialized Industry Skills,Linguistics,36.4,131.26,135.23,168.65,143.09,122.926
ca,Canada,High income,North America,Specialized Industry Skills,Educational Research,62.94,25.44,45.91,124.9,143.68,80.574
ca,Canada,High income,North America,Specialized Industry Skills,Criminal Law,29.85,48.76,64.38,131.54,143.98,83.702
ca,Canada,High income,North America,Specialized Industry Skills,Air Traffic Control,17.7,77.1,74.09,105.51,144.11,83.702
ca,Canada,High income,North America,Soft Skills,Problem Solving,1.94,21.6,47.31,80.78,144.71,59.26800000000001
ca,Canada,High income,North America,Specialized Industry Skills,Electronic Control Systems,34.8,46.34,100.86,127.9,145.65,91.10999999999999
ca,Canada,High income,North America,Specialized Industry Skills,Pharmaceutics,41.09,74.4,79.97,131.72,145.95,94.626
ca,Canada,High income,North America,Tech Skills,Graphic Design,47.28,72.1,92.38,132.58,145.95,98.058
ca,Canada,High income,North America,Business Skills,Business Management,46.48,67.36,86.55,135.75,147.19,96.666
ca,Canada,High income,North America,Business Skills,Product Development,33.54,65.69,91.22,130.75,147.73,93.78599999999999
ca,Canada,High income,North America,Business Skills,Sales Operations,22.31,57.8,79.42,125.64,148.83,86.8
ca,Canada,High income,North America,Business Skills,Tax Accounting,8.11,41.55,65.61,112.29,149.32,75.376
ca,Canada,High income,North America,Specialized Industry Skills,Navy,67.94,68.49,104.08,131.45,150.2,104.43199999999999
ca,Canada,High income,North America,Disruptive Tech Skills,Genetic Engineering,-17.7,43.04,68.63,129.06,151.68,74.94200000000001
ca,Canada,High income,North America,Business Skills,Commercial Banking,34.6,64.3,81.08,134.85,151.8,93.32600000000001
ca,Canada,High income,North America,Soft Skills,Flexible Approach,35.69,69.84,56.24,109.56,152.64,84.79400000000001
ca,Canada,High income,North America,Specialized Industry Skills,Evolutionary Biology,-11.74,73.52,118.08,157.23,154.56,98.33
ca,Canada,High income,North America,Business Skills,Partner Development,-31.77,30.54,88.93,119.85,154.59,72.428
ca,Canada,High income,North America,Specialized Industry Skills,Tax Law,35.17,50.84,81.29,140.58,155.17,92.60999999999999
ca,Canada,High income,North America,Business Skills,Capital Markets,20.53,52.96,85.56,143.72,158.38,92.22999999999999
ca,Canada,High income,North America,Tech Skills,Technical Support,50.16,73.54,98.21,140.41,159.25,104.314
ca,Canada,High income,North America,Business Skills,Product Marketing,24.33,65.63,93.29,142.33,160.09,97.13400000000001
ca,Canada,High income,North America,Specialized Industry Skills,Structural Analysis,18.83,39.72,97.13,139.66,162.5,91.56800000000001
ca,Canada,High income,North America,Specialized Industry Skills,Electronics,41.63,48.1,92.78,119.69,162.77,92.994
ca,Canada,High income,North America,Business Skills,Project Management,46.8,77.66,100.98,150.19,164.3,107.98600000000002
ca,Canada,High income,North America,Specialized Industry Skills,Telecommunications,66.38,99.23,119.56,162.48,164.79,122.48799999999999
ca,Canada,High income,North America,Specialized Industry Skills,Intellectual Property,17.99,47.4,74.73,132.82,169.66,88.52000000000001
ca,Canada,High income,North America,Specialized Industry Skills,Hospitality Industry,37.31,69.61,116.35,153.5,170.3,109.41399999999999
ca,Canada,High income,North America,Specialized Industry Skills,Machining,24.52,38.08,83.01,129.01,172.51,89.426
ca,Canada,High income,North America,Business Skills,Financial Accounting,25.51,55.71,87.15,145.2,173.07,97.328
ca,Canada,High income,North America,Specialized Industry Skills,Creativity Skills,11.81,62.8,97.05,120.15,173.28,93.018
ca,Canada,High income,North America,Business Skills,Operational Efficiency,48.6,60.63,76.52,123.9,173.6,96.65
ca,Canada,High income,North America,Soft Skills,Social Perceptiveness,18.1,50.99,100.51,114.85,174.69,91.828
ca,Canada,High income,North America,Tech Skills,Signal Processing,-38.41,-10.58,67.83,171.3,175.02,73.03200000000001
ca,Canada,High income,North America,Specialized Industry Skills,Composites,-36.19,-4.15,28.29,120.79,178.15,57.378
ca,Canada,High income,North America,Specialized Industry Skills,Dentistry,61.95,77.35,103.9,119.36,178.61,108.23400000000001
ca,Canada,High income,North America,Tech Skills,Digital Literacy,52.48,79.66,105.03,162.79,184.34,116.85999999999999
ca,Canada,High income,North America,Specialized Industry Skills,Mathematics,3.7,25.3,95.89,154.78,185.36,93.006
ca,Canada,High income,North America,Specialized Industry Skills,Translation,76.47,140.14,174.12,181.01,185.74,151.496
ca,Canada,High income,North America,Tech Skills,Animation,96.06,135.97,155.75,205.69,189.32,156.558
ca,Canada,High income,North America,Specialized Industry Skills,Industrial Design,29.73,53.53,91.64,139.28,195.72,101.97999999999999
ca,Canada,High income,North America,Specialized Industry Skills,Cybersecurity,58.96,96.2,120.18,167.26,197.32,127.98400000000001
ca,Canada,High income,North America,Specialized Industry Skills,Pharmaceutical Manufacturing,46.35,87.85,105.02,171.5,197.76,121.696
ca,Canada,High income,North America,Tech Skills,System Administration,63.39,98.93,125.66,176.47,198.53,132.596
ca,Canada,High income,North America,Business Skills,Revenue Analysis,42.68,101.89,178.66,191.05,199.91,142.838
ca,Canada,High income,North America,Disruptive Tech Skills,Robotics,17.99,57.37,95.51,140.38,200.35,102.32000000000001
ca,Canada,High income,North America,Tech Skills,Web Hosting,6.79,90.1,80.88,176.24,207.6,112.322
ca,Canada,High income,North America,Specialized Industry Skills,International Law,50.69,111.62,154.56,189.32,208.72,142.982
ca,Canada,High income,North America,Business Skills,Auditing,42.51,72.85,101.66,163.85,211.41,118.45599999999999
ca,Canada,High income,North America,Specialized Industry Skills,Product Testing,53.86,85.92,108.73,171.4,211.57,126.296
ca,Canada,High income,North America,Specialized Industry Skills,Structural Engineering,71.0,128.42,129.31,196.4,212.46,147.518
ca,Canada,High income,North America,Tech Skills,Enterprise Software,41.68,78.72,119.52,187.72,213.17,128.16199999999998
ca,Canada,High income,North America,Tech Skills,Computer Hardware,40.09,69.39,114.7,176.51,215.36,123.21
ca,Canada,High income,North America,Business Skills,Economics,-6.68,51.0,113.06,178.94,220.12,111.28800000000001
ca,Canada,High income,North America,Business Skills,Management Consulting,52.99,94.22,131.65,216.81,225.28,144.19
ca,Canada,High income,North America,Specialized Industry Skills,Architecture,66.52,92.58,127.82,193.62,225.72,141.252
ca,Canada,High income,North America,Tech Skills,Computer Networking,79.23,112.6,147.38,188.94,229.94,151.618
ca,Canada,High income,North America,Specialized Industry Skills,Naval Architecture,111.04,127.71,159.77,183.19,238.4,164.022
ca,Canada,High income,North America,Specialized Industry Skills,Fluid Mechanics,69.65,47.38,129.57,202.79,242.87,138.452
ca,Canada,High income,North America,Business Skills,Customer Service Systems,73.71,111.15,120.7,183.79,257.69,149.408
ca,Canada,High income,North America,Disruptive Tech Skills,Human Computer Interaction,1.48,86.28,128.37,213.95,259.05,137.826
ca,Canada,High income,North America,Tech Skills,Data-driven Decision Making,6.24,-17.93,156.91,132.9,259.84,107.59200000000001
ca,Canada,High income,North America,Tech Skills,Computer Graphics,158.8,149.09,222.16,278.23,266.0,214.856
ca,Canada,High income,North America,Soft Skills,Persuasion,94.78,61.93,127.62,151.35,267.74,140.68400000000003
ca,Canada,High income,North America,Specialized Industry Skills,Foreign Languages,59.21,125.48,165.56,227.85,271.03,169.826
ca,Canada,High income,North America,Tech Skills,Software Development Life Cycle (SDLC),59.47,108.11,156.29,255.94,271.17,170.196
ca,Canada,High income,North America,Business Skills,Competitive Strategies,61.21,96.02,134.42,257.53,287.57,167.35
ca,Canada,High income,North America,Disruptive Tech Skills,Aerospace Engineering,43.27,55.52,135.25,235.31,289.61,151.792
ca,Canada,High income,North America,Tech Skills,Scientific Computing,32.1,81.32,161.1,231.95,295.48,160.39000000000001
ca,Canada,High income,North America,Disruptive Tech Skills,Data Science,40.27,104.33,160.25,266.08,302.19,174.62400000000002
ca,Canada,High income,North America,Tech Skills,Mobile Application Development,45.17,123.01,176.99,292.39,309.28,189.368
ca,Canada,High income,North America,Tech Skills,Data Storage Technologies,82.55,142.14,186.52,286.12,313.84,202.234
ca,Canada,High income,North America,Tech Skills,Software Testing,60.66,106.94,173.15,284.11,316.38,188.248
ca,Canada,High income,North America,Tech Skills,Web Development,66.83,130.83,185.35,277.0,317.61,195.524
ca,Canada,High income,North America,Disruptive Tech Skills,Development Tools,99.03,167.65,237.41,349.21,383.75,247.41
ca,Canada,High income,North America,Disruptive Tech Skills,Artificial Intelligence (AI),11.83,102.82,272.11,434.81,510.91,266.496
